Cement (kg/m3),Blast-furnace Slag (kg/m3),Fly Ash (kg/m3),Water (kg/m3),Super-plasticizer (kg/m3),Coarse Aggregate  (kg/m3),Fine Aggregate (kg/m3),Age of testing (day),Concrete compressive strength (MPa) 
307,110,0,189,10,904,765,28,31.5
184.3,153.4,239.2,179,7.5,920.2,640.9,28,41.01
140.2,44.8,234.9,171.3,5.5,1047.6,704,28,33.78
147,89,115,202,9,860,829,28,25.21
356,142,0,193,11,801,778,28,36.46
288,0,121,177,7,908,829,28,39.93
146,178,0,192,11,961,749,28,17.19
172.8,158.3,239.5,166.4,7.4,952.6,644.1,28,41.81
305,100,0,196,10,959,705,28,29.77
153,0,239,200,6,1002,684,28,28.29
332,0,170,160,6,900,806,28,58.53
313,112,0,220,10,794,789,28,28.16
326,0,167,174,6,884,792,28,52.65
310,0,143,168,10,914,804,28,49.3
150.4,110.9,239.7,168.1,6.5,1000.2,667.2,28,37.92
321,0,164,190,5,870,774,28,45.82
143.3,91.8,239.8,200.8,6.2,964.8,647.1,28,27.09
274,89,115,202,9,759,827,28,35.52
152,0,237,204,6,785,892,28,32.71
320,0,163,188,9,866,776,28,45.69
159,0,187,176,11,990,789,28,32.57
162,148,191,179,16,840,743,28,41.81
342,136,0,225,11,770,747,28,32.04
165.3,143.2,238.3,200.4,7.1,883.2,652.6,28,32.84
298,107,0,186,6,879,815,28,30.97
148,109,139,193,7,768,902,28,28.03
140,128,164,237,6,869,656,28,29.5
297.1,40.9,239.9,194,7.5,908.9,651.8,28,49.17
299,107,0,210,10,881,745,28,28.29
154,112,144,220,10,923,658,28,26.82
141.1,0.6,209.5,188.8,4.6,996.1,789.2,28,30.43
354,0,0,234,6,959,691,28,33.91
140,128,164,183,12,871,775,28,33.38
278,0,117,205,9,875,799,28,32.71
145,0,227,240,6,750,853,28,36.59
156,0,243,180,11,1022,698,28,33.78
142,130,167,215,6,735,836,28,31.37
158,0,246,174,7,1035,706,28,34.99
276,90,116,180,9,870,768,28,44.08
320,127,164,211,6,721,723,28,46.36
165,150,0,182,12,1023,729,28,18.26
252,76,97,194,8,835,821,28,33.11
348.7,0.1,223.1,208.5,9.6,786.2,758.1,28,48.77
374,0,0,190,7,1013,730,28,32.44
163,149,191,180,12,843,746,28,41.14
304,0,140,214,6,895,722,28,38.46
140.1,11.8,226.1,207.8,4.9,1020.9,683.8,28,26.28
310,0,143,218,10,787,804,28,36.19
298,107,137,201,6,878,655,28,41.27
349,0,178,230,6,785,721,28,43.95
215.6,112.9,239,198.7,7.4,884,649.1,28,39.13
336,134,0,222,6,756,787,28,31.9
366,0,187,191,7,824,757,28,52.65
159,0,248,175,12,1041,683,28,35.39
295.3,0,239.9,236.2,8.3,780.3,722.9,28,44.08
280,92,118,207,9,883,679,28,37.39
155.4,122.1,240,179.9,6.7,966.8,652.5,28,35.52
295,106,136,208,6,871,650,28,39.4
146,106,137,209,6,875,765,28,27.89
145,177,227,209,11,752,715,28,35.66
312.36,0,0,162.96,7.85,1001.81,771.6,51,344.48
485.21,0,0,187.93,7.41,1039,841.63,71,374.3
419.6,0,0,211.11,27.19,875.14,828.05,48,375.11
379.6,0,0,201.26,7.49,987.46,646.17,19,473.84
246.81,0,0,206.46,8.16,971.52,644.77,262,132.71
246.8,0,0,196.11,22.78,1049.85,680.45,84,272.35
217.43,0,0,198.46,13.49,1071.83,708.32,155,192.56
459.85,0,0,209.44,23.3,803.65,722.54,53,364.53
380.33,0,0,167.48,1.96,1002.21,803.91,107,271.62
412.42,0,0,184.26,14.63,815.55,617,357,115.59
206.18,0,0,165.48,1.01,964.66,610.4,304,110.43
490.97,0,0,219.14,1.88,886.29,717.57,135,257.11
449.73,0,0,216.08,27.19,892.03,809.15,69,342.79
263.7,0,0,152.76,4.18,905.89,658.03,11,414.71
254.55,0,0,199.39,15.97,986.39,792.45,143,200.71
255.02,0,0,214.77,12.33,900.21,677.95,192,159.39
291.27,0,0,162.64,10.42,1019.81,865.83,69,303.38
357.43,0,0,189.76,27,921.36,868.71,23,428.83
329.58,0,0,214.08,0.65,820.51,689.19,181,173.2
287.37,0,0,152.38,19.91,1035.13,669,293,130.39
383.56,0,0,198.82,28.9,885.73,723.39,9,490.06
241.85,0,0,170.81,16.81,929.83,672.16,271,123.28
287.64,0,0,214.71,28.1,1005.63,801.72,93,267.26
309.91,0,0,217.97,1.57,899.74,847.82,17,426.82
336.82,0,0,216.1,12.56,816.98,801.93,154,192.83
435.55,0,0,183.19,7.8,912.18,847.31,328,133.47
259.9,0,0,210.34,21.92,1083.33,719.1,149,209.6
354.27,0,0,209.12,29.44,992.52,646.9,267,150.05
377.72,0,0,172.34,7.7,1001.44,821.39,328,131.11
213.94,0,0,208.02,19.63,989.68,708.14,106,226.16
382.26,0,0,152.59,5.94,859.7,801.38,35,383.32
251.16,0,0,191.74,16.96,925.5,681.19,119,212.71
219.52,0,0,166.1,13.92,1025.28,624.37,14,413.88
484.67,0,0,158.44,29.16,830.41,897.77,14,500.13
489.69,0,0,155.39,18.26,883.36,646.86,266,160.92
442.52,0,0,198.74,10.49,882.9,896.53,140,237.34
291.38,0,0,173.79,3.42,929.61,893.18,294,123.93
229.3,0,0,200.73,4.54,1094.11,838.15,364,108.99
405.27,0,0,154.57,6.76,820.25,797.83,119,237.36
332.05,0,0,172.07,7.53,955.61,773.34,238,153.83
236.61,0,0,187.76,25.52,853.81,859.83,34,324.17
348.55,0,0,205.35,16.84,1091.2,686.83,169,214.39
210.32,0,0,172.31,15.7,833.99,740.3,10,372.79
472.8,0,0,193.81,3.44,921.08,785.82,122,269.64
277.63,0,0,212.02,25.8,1021.37,723.36,145,209.84
398.76,0,0,193.11,21.68,1011.37,728.25,223,179.63
293.51,0,0,166.31,2.03,926.82,699.09,257,136.5
356.02,0,0,151.71,21.24,903.96,769.27,268,139.7
364.01,0,0,210.91,16.31,919.28,855.17,359,116.68
255.46,0,0,151.49,2.45,879.28,660.46,4,430.03
490.88,0,0,211.23,13.75,861.6,880.33,354,130.96
432.54,0,0,187.03,14.54,944.91,806.73,106,281.4
481.85,0,0,215.73,4.97,880.56,846.98,85,322.26
468.45,0,0,205.91,28.37,886.24,766.86,214,186.85
379.37,0,0,219.86,25.5,997.03,833.86,121,257.66
476.56,0,0,174.55,20.07,1090.56,604.86,132,278.88
226.55,0,0,203.7,13.87,981.09,845.51,338,107.38
258.79,0,0,178.14,12.35,823.09,612.04,197,147.21
213.57,0,0,183.59,19.53,822.68,866.97,19,345.11
297.6,0,0,193.93,16.36,1085.43,897.59,130,235.72
316.6,0,0,211.16,1.87,889.19,688.22,12,445.41
281.4,0,0,218.89,15.38,827.62,663.1,81,254.22
448.62,0,0,203.78,24.19,979.71,829.61,330,140.15
307.03,0,0,179.24,13.78,987.09,675.91,354,113.55
284.28,0,0,179.49,1.56,994.55,859.67,262,139.44
362.81,0,0,201.63,23.59,880.22,630.85,125,231.51
242.28,0,0,166.71,6.04,804.53,637.79,307,103.14
440.66,0,0,157.73,7.76,1089.5,893.75,267,169.59
222.37,0,0,174.82,4.94,875.27,802.15,140,179.47
496.07,0,0,170.11,9.91,1002.81,854.07,329,147.32
431.67,0,0,170.74,22.7,1011.99,697.3,2,583.94
259.61,0,0,166.35,15.58,983,802.95,8,447.37
201.66,0,0,152.95,6.15,893.87,778.27,250,119.84
444.64,0,0,151.25,26.33,881.33,780.95,139,234.36
412.06,0,0,219.14,26.39,979.3,804.76,124,260.51
418.7,0,0,179.94,26.12,1059.83,772.61,309,147.64
431.38,0,0,176.9,7.16,1084.02,728.72,228,188.74
222.21,0,0,197.58,13.54,831.77,682.78,10,383.36
307.54,0,0,165.28,29.55,846.45,830.57,212,150.65
234.76,0,0,216.5,23.16,1083.42,667.88,112,239.63
458.93,0,0,205.04,0.82,1020.96,807.71,8,576.5
386.99,0,0,156.26,1.96,1064.9,670,292,148.68
299.27,0,0,179.23,13.92,860.79,787.6,362,102.37
219.07,0,0,211.54,27.28,976.28,824.12,253,131.8
293.29,0,0,216.13,16.16,1010.34,665.61,14,457.45
297.55,0,0,182.72,14.93,1004.03,617.98,240,151.63
418.88,0,0,192.94,3.16,922.45,639.29,242,165.64
391.27,0,0,161.69,19.7,804.62,781.8,342,114.82
466.16,0,0,219.38,24.66,974.88,854.83,149,246.91
341.66,0,0,166.22,11.41,875.93,613.5,236,148.94
235.88,0,0,215.99,23.27,935.08,820.25,306,114.31
413.97,0,0,195.48,28.93,1087.27,702.4,167,229.29
428.24,0,0,192.54,6.11,919.71,743.56,20,475.88
368.38,0,0,185.89,15.7,1051.94,878.66,216,181.33
431.29,0,0,166.15,8.61,856.56,699.59,343,123.82
348.14,0,0,162.36,23.79,1001.74,739.6,135,230.08
356.82,0,0,165.43,17.33,1093.1,604.1,129,250.76
328.26,0,0,163.05,19.04,830.57,624.48,294,121.27
207.63,0,0,204.57,23.94,802.5,677.58,246,117.06
232.37,0,0,174.51,11.88,930.07,608.36,189,156.66
209.43,0,0,154.05,27.45,827.79,789.41,44,280.16
390.92,0,0,217.84,15.99,1024.52,727.92,86,314.34
294.31,0,0,211.87,4.74,1074.36,764.44,44,375.71
352.57,0,0,214.94,20.88,930.21,652.39,330,123.85
472.27,0,0,219.64,23.8,877.61,688.78,145,240.57
274.79,0,0,162.17,9.5,930.32,799.15,51,315.18
323.11,0,0,177.74,25.72,1017.03,889.59,242,155.92
426.67,0,0,203.08,27.18,802.72,615.13,294,136.06
268.64,0,0,198.72,8.31,976.84,867.12,51,326.86
223.09,0,0,160.77,29.51,983.99,773.06,266,125.61
286.93,0,0,207.11,4.22,991.31,769.18,120,232.16
248.37,0,0,165.71,6.06,872.61,750.08,200,147.88
478.91,0,0,165.67,5.53,1014.22,620.82,248,179.44
442.44,0,0,187.59,26.82,827.42,626.96,70,323.45
390.02,0,0,191.51,19.63,859.78,780.27,341,120.02
461.44,0,0,190.61,4.56,1063.24,702.29,57,403.65
441.1,0,0,156.4,13.21,1021.62,875.18,39,432.93
255.97,0,0,211.42,18.46,804.12,721.98,289,112.13
467.77,0,0,168.59,2.5,874.51,642.98,18,488.65
361.8,0,0,159.07,26.47,864.32,814.42,220,158.4
442.23,0,0,212.21,24.11,881.24,688.01,313,138.24
468.83,0,0,216.9,15.16,874.27,757.64,244,170.41
295.4,0,0,210.35,29.01,818.76,809.35,352,102.54
233.02,0,0,206.67,12.53,937.68,870.08,304,114.31
268.38,0,0,195.87,29.52,1019.82,837.66,298,126.8
328.13,0,0,188.56,20.04,982.02,802.91,283,137.91
445.4,0,0,156.09,19.04,1001.86,803.89,74,343.72
458.22,0,0,178.59,4.98,824.34,883.78,110,265.57
202.09,0,0,176.09,26.46,1085.45,688.75,180,171.71
353.22,0,0,168.18,12.82,1051.55,600.33,32,424.54
325.22,0,0,200.64,4.87,1041.53,681.59,234,163.92
266.63,0,0,184.71,0.38,1046.9,665.37,282,133.76
235.96,0,0,155.67,16.79,1079.81,798.55,25,396.65
301.28,0,0,165.41,15.82,963.28,790.11,331,116.48
482.87,0,0,197.83,21.58,860.08,778.04,279,154.68
296.96,0,0,155.33,26.71,985.04,604.87,226,154.42
355.64,0,0,209.58,2.38,1022.86,818.63,57,357.99
410.91,0,0,184.66,21.94,1021.38,697.06,180,210.28
309.09,0,0,183.64,5.62,956.43,799.52,232,153.26
491.53,0,0,191.47,25.75,820.54,766.97,343,130.49
488.73,0,0,207.73,24.57,911.33,702.82,287,156.84
275.53,0,0,174.35,16.22,1076.23,640.37,64,318.44
349.17,0,0,197.46,21.31,975.33,628.33,232,162.81
290.26,0,0,189.6,9.43,961.5,849.46,289,128.55
285.45,0,0,168.69,14.14,880.66,875.52,213,149.68
211.07,0,0,211.5,24.65,910.53,794.94,258,123.15
382.87,0,0,205.82,13.78,1068.6,631.03,18,500.66
350.8,0,0,196.09,10.73,999.94,720.61,175,199.69
215.44,0,0,209.54,14.83,1036.22,818.68,229,146.29
283.59,0,0,210.71,24.85,936.3,833.95,226,150.9
472.48,0,0,199.59,10.06,989.07,635.47,84,336.75
271.87,0,0,208.59,5.21,874.52,600.01,291,119.42
243.47,0,0,198.82,21.36,1011.64,813.64,246,141.12
346.84,0,0,197.61,24.78,928.28,706.98,110,249.94
495.7,0,0,193.3,3.02,932.76,676.34,254,173.94
272.62,0,0,202.69,7.2,994.8,603.87,88,267.12
401.64,0,0,161.1,4.26,1080.88,762.09,72,347.24
428.49,0,0,211.66,10.44,819.2,855.35,30,418.97
271.29,0,0,211.03,13.51,1047.42,887.29,172,190.64
418.46,0,0,152.05,22.46,887.71,769.72,309,133.66
310.33,0,0,207.81,19.53,933.18,754.34,343,114.39
389.69,0,0,159.02,18.63,806.57,625.52,177,182.91
390.06,0,0,173.46,10.57,890.31,764.66,139,223.97
360.73,0,0,202.05,25.24,950.79,713.99,194,183.95
227.09,0,0,161.25,14.14,816.85,782.14,186,144.35
450.59,0,0,207.26,29.37,947.33,716.62,218,186.96
296.23,0,0,208.25,19.02,1078.13,672.09,164,205.26
255.96,0,0,185.52,3.79,831.62,628.49,161,168.57
212.23,0,0,150.45,20.29,1029.33,694.48,13,411.69
377.27,0,0,170.09,9.75,922.9,628.99,296,135.55
403.27,0,0,193.18,20.59,996.55,653.07,89,306.1
204.98,0,0,218.68,2.09,878.07,896.2,324,101.42
353.63,0,0,194.23,5.25,847.85,733.23,42,355.71
267.95,0,0,168.19,25.67,848.14,759.56,210,144.38
393.55,0,0,194.38,6.82,821.15,862.09,229,158.36
252.31,0,0,187.8,25.11,855.69,898.67,350,98.76
407.28,0,0,204.59,8.38,999.27,774.81,275,155.91
316.02,0,0,157.49,19.29,1064.51,843.74,279,142.35
481.02,0,0,203.27,20.82,1044.24,698.08,251,182.76
241.26,0,0,187.89,15.38,1005.54,691.72,310,117.86
302.32,0,0,217.41,9.16,833.13,720.81,208,154.01
234.04,0,0,173.93,6.38,886.76,801.75,321,104.73
477.41,0,0,194.28,1,892.94,804.66,140,247.14
463.2,0,0,215.24,9.12,874.99,694.57,280,153.42
277.38,0,0,157.18,19.59,954.5,639.96,34,360.62
398,0,0,215.61,28.15,960.67,789.72,309,139.05
445.17,0,0,198.15,26.14,907.07,638.5,18,489.44
366.56,0,0,154.75,22.98,906.14,773.55,57,332.22
358.9,0,0,171.07,23.65,1048.57,808.03,112,265.54
272.56,0,0,199.57,19.95,1036.79,810.18,5,489.03
227.93,0,0,154.71,7.81,892.34,826.04,182,154.26
469.16,0,0,190.75,27.22,1074.14,861.86,13,566.84
470.13,0,0,174.21,20.12,1085.84,749.99,339,146.17
389.93,0,0,193.46,16.81,898.02,819.07,285,140.58
301.71,0,0,153.2,3.33,906.33,785.75,259,134.65
304.76,0,0,211.01,13.41,951.69,655.99,90,268.37
417.79,0,0,218.14,13.81,1082.34,607.71,104,303.09
469.13,0,0,217.82,25.94,1062.9,685.36,186,224.69
466.13,0,0,202.48,16.4,830.77,732.91,250,162.45
433.96,0,0,159.11,11.41,917.82,785.13,255,159.71
392.61,0,0,203.08,29.3,966.01,854.99,76,320.75
225.24,0,0,151.72,3.32,950.94,658.87,108,216.64
248.49,0,0,151.55,12.68,858.16,637.66,156,170.4
469.57,0,0,172.65,1.26,1057.65,889.04,82,348.08
381.93,0,0,184.21,22.2,1003.08,632.41,77,319.67
202.76,0,0,203.93,27.54,1051.37,743.55,258,133.09
230.44,0,0,197.83,8.4,1057.63,775.67,127,217.93
399.05,0,0,181.21,25.75,1024.51,762.41,282,152.29
201.52,0,0,169.15,8.77,931.76,625.81,88,230.76
248.24,0,0,219.8,27.32,983.16,617.11,204,160.03
364.62,0,0,179.83,22.62,848.11,631.65,16,437.97
407.57,0,0,181.6,24.15,1002.09,775.68,151,231.19
395.59,0,0,161.45,0.54,853.78,763.3,254,148.52
267.28,0,0,205.64,28.88,1008.18,670.12,188,174.48
413.65,0,0,198.56,21.8,868.88,791.33,329,127.62
271.17,0,0,165.45,9.14,835.27,846.02,32,337.82
297.62,0,0,155.77,24.88,849.59,612.47,271,124.89
423.95,0,0,197.63,8.45,800.6,749.44,5,508.24
394.89,0,0,195.82,26.18,1015.62,806.79,330,134.76
454.77,0,0,169.13,3.38,1019.72,675.69,308,150.11
397.28,0,0,216.56,21.11,954.48,692.33,333,130.94
370.49,0,0,160.57,16.22,848.41,784.09,169,188.89
228.1,0,0,180.26,2.9,825.07,869.38,181,149.57
310.31,0,0,216.05,7.26,805.74,842.98,178,169.34
279.56,0,0,179.38,0.37,849.72,774.94,143,188.69
273.2,0,0,194.7,14.06,1067.26,819.07,362,113.06
491.9,0,0,177.83,9.04,872.46,709.45,248,170.11
317.93,0,0,169.2,17.95,906.28,792.29,127,218.32
467.61,0,0,218.88,8.92,831.6,739.85,263,157.96
389.34,0,0,178.65,9,866.71,656.98,40,377.78
438.44,0,0,212.59,22.3,955.77,810.52,355,129.93
350.79,0,0,166.1,1.44,982.33,766.94,255,151.64
373.07,0,0,164.92,27.09,873.61,707.59,143,212.98
347.76,0,0,152.18,25.57,817.32,873.4,240,142.06
258.57,0,0,195.62,20.03,917.31,606.28,228,142.82
416.74,0,0,175.8,17.8,870.26,694.73,341,123.67
284.23,0,0,210.51,26.77,865.87,617.06,198,158.07
207.29,0,0,183.12,5.56,1087.96,829.96,65,295.22
393.64,0,0,217.77,2.37,984.89,810.63,11,518.1
253.13,0,0,162.99,7.19,967.06,699.41,108,228
482.14,0,0,210.8,23.84,924.73,802.7,26,482.28
486.18,0,0,204.36,1.04,928.68,718.78,151,243.48
474.46,0,0,203.96,17.48,962.27,826.88,221,191.05
311.05,0,0,209.13,29.86,1008.93,736.26,341,120.1
204.64,0,0,203.27,25.67,1010.64,723.68,237,138.08
478.5,0,0,193.84,15.64,851.51,880.42,237,172.27
328.46,0,0,159.19,1.91,950.03,675.26,219,161.07
490,0,0,152.28,24.94,923.59,636.13,151,239.16
489.09,0,0,214.46,17.97,1061.16,775.36,123,293.18
455.9,0,0,193.17,3.45,989.43,890.8,144,249.52
288.33,0,0,205.76,2.82,959.75,713.35,189,173.68
315.53,0,0,183.71,27.29,834.62,618.61,255,133.83
455.34,0,0,158.21,20.08,981.69,701.79,68,356.16
295.08,0,0,158.76,24.88,835.16,751.78,104,224.56
250.85,0,0,197.99,26.37,901.16,648.58,336,105.31
367.04,0,0,180.12,17.15,842.85,797.43,159,196.23
480.85,0,0,164.04,15.52,1007.62,899.32,309,152.28
408.81,0,0,184.41,12.91,861.88,735.52,362,116.9
371.02,0,0,154.49,9.51,917.56,706.42,300,132.08
229.15,0,0,190.74,13.04,1068.7,720.21,90,260.84
384.5,0,0,168.83,23.22,861.29,634.54,357,114.16
497.02,0,0,205.83,18.06,952.34,864.98,256,175.33
242.03,0,0,171.73,26.78,925.78,724.45,353,100.65
355.5,0,0,181.87,13.3,805.44,716.18,220,153.32
463.21,0,0,150.81,18.21,1037.83,797.91,9,567.46
422.23,0,0,155.07,18.94,820.71,732.61,12,472.87
409.1,0,0,177.47,17.75,942.28,794.47,325,132.41
410.75,0,0,183.6,21.08,968.2,618.43,244,166.45
307.85,0,0,192,7.12,988.53,844.12,182,184.15
288.08,0,0,170.42,15.37,1006.59,882.15,284,132.33
442.81,0,0,198.65,3.13,875.98,794.63,312,137.88
443.03,0,0,210.21,11.54,802.99,886.37,99,275.47
460.12,0,0,204.59,14.63,1017.03,645.43,197,209.22
473.97,0,0,152.77,19.57,960.7,743.22,226,184.71
353.4,0,0,183.64,28.52,1050.84,780.54,333,129.93
350.45,0,0,157.35,18.02,1046.42,774.52,103,273.28
439.49,0,0,166.94,22.31,1053,720.44,106,297.02
394.99,0,0,219.07,15.19,945.53,701.43,58,356.78
410.59,0,0,159.97,19.02,900.09,638.05,78,307.54
438.74,0,0,184.92,2.13,1037.47,717.52,75,349.35
467,0,0,193.27,7.63,935.39,648.8,42,421.89
301.4,0,0,199.17,10.86,855.03,820.31,324,112.42
312.67,0,0,189.18,14.17,1056.49,662.65,181,192.77
228.19,0,0,150.68,1.37,1064.77,617.57,33,365.73
373.48,0,0,172.85,4.2,939.89,765.71,71,316.03
210.78,0,0,186.24,8.3,822.71,778.57,56,262.89
339.68,0,0,156.15,29.15,916.35,861.57,105,248.04
362.79,0,0,174.54,9.94,1041.06,773.09,200,188.14
285.96,0,0,152.32,14.46,1070.53,703.64,101,259.94
377.25,0,0,155.5,5.88,861.04,840.9,256,144.79
209.15,0,0,177.78,18.32,820.09,762.08,307,99.79
211.2,0,0,159.29,8.42,1063.21,623.78,74,274.21
446.78,0,0,189.73,6.21,916.82,769.76,171,214.3
308.06,0,0,198.26,15.5,962.53,872.41,143,210.89
238.12,0,0,206.04,0.17,1090.42,718.89,166,192.18
356.67,0,0,164.01,0.23,819.97,688.9,261,136.51
431,0,0,161.72,6.57,994.5,643.04,221,183.48
264.75,0,0,157.32,1.1,822.23,645.43,83,238.76
386.87,0,0,194.55,3.24,912.64,729.83,182,193.14
225.6,0,0,199.45,10.17,1041.14,778.7,307,119.68
215.5,0,0,152.21,24.08,930.04,624.18,10,397.78
359.41,0,0,215.53,17.16,1099.15,881.87,4,565.04
362.19,0,0,153.64,15.38,967.72,826.54,351,119.2
391.23,0,0,187.89,8.8,896.35,775.99,336,124.03
417.83,0,0,199.63,27.95,866.03,848.53,292,140.06
492.76,0,0,210.97,11.91,905.16,624.06,281,159.79
354.89,0,0,199.99,2.61,911.76,743.05,215,167.09
296.89,0,0,206.12,18.51,820.61,789.03,98,234.65
438.56,0,0,173.76,3.42,910.87,848.6,101,284.07
281.25,0,0,207.04,10.36,939.27,835.04,9,450.84
331.69,0,0,155.61,15.22,1016.82,683.12,61,331.94
223.54,0,0,212.64,26.23,997.02,882.26,309,116
207.61,0,0,188.33,14.81,1012.63,637.3,146,189.14
488.79,0,0,207.21,21.07,802.51,862.54,63,352.4
450.79,0,0,181.66,29.78,865.3,891.28,121,255.62
408.79,0,0,195.05,3.94,998.51,653.15,226,179.03
322.69,0,0,186.85,8.24,945.2,816.62,105,250.79
251.99,0,0,201.21,11.84,801.59,612.09,260,119.81
246.93,0,0,155.71,12.65,1041.35,721.63,349,109.37
275.07,0,0,154.22,12.33,1031.84,754.88,255,142.2
364.77,0,0,167.3,27.23,964.53,774.19,207,176
414.38,0,0,161.17,21.42,819.94,880.78,28,410.76
398.06,0,0,211.02,18.24,1029.95,801.68,170,218.19
283.98,0,0,165.34,9.28,975.11,744.38,336,113.65
486.46,0,0,218.31,24.71,1034.59,842.9,76,366.29
421.37,0,0,173.58,28.65,1025.52,885.16,116,274.89
366.31,0,0,162.75,24.64,1040.9,606.62,69,333.36
383.52,0,0,205.28,0.05,955.4,894.76,354,122.86
325.88,0,0,196.11,19.09,842.1,625.84,234,145.64
274.32,0,0,184.87,1.53,1001.35,844.32,1,496.92
306.79,0,0,188.88,7.73,986.14,684.1,167,193.75
427.35,0,0,200.34,1.79,1022.68,639.65,352,133.45
204.32,0,0,165.99,18.11,850.96,731.96,218,128.99
234.82,0,0,219.74,20.6,858.49,793.19,273,118.33
213.8,0,0,218.24,3.43,1067.12,714.29,251,140.14
212.22,0,0,195.52,11.52,1024.99,616.37,347,105.9
456.64,0,0,163.97,13.69,1072.47,779.84,344,141.4
411.1,0,0,197.62,11.07,1027.61,870.72,174,216.76
342.25,0,0,155.05,3.63,979.15,714.96,170,196.27
229.35,0,0,152.15,12.57,996.24,664.9,246,134.76
347.48,0,0,168.04,22.54,1066.74,732.77,90,295.26
342.04,0,0,182.38,2.13,973.64,614.51,49,358.18
251.96,0,0,210.78,2.41,989.72,846.15,294,124.4
330.16,0,0,200.9,10.64,846.94,847.9,150,196.73
319.55,0,0,201.99,28.25,942.18,776.4,132,221.28
384.76,0,0,179.78,20.06,1014.92,705.93,59,358.67
390.53,0,0,174.22,20.36,881.28,839.94,324,125.6
213.59,0,0,175.97,10.86,860.68,766.41,199,140.81
312.38,0,0,219.14,17.81,894.15,847.78,215,158.29
387.76,0,0,152.81,0.3,872.45,789.44,49,352.31
350.94,0,0,210.69,19.08,864.47,835.32,232,153.94
456.95,0,0,190.51,27.4,927.46,779.57,247,169.78
397.61,0,0,180.7,18.38,1072.35,724.24,239,175.66
248.88,0,0,200.77,26.21,952.12,887.38,168,176.79
221.17,0,0,184.07,21.72,856.38,762.33,48,287.39
392.73,0,0,211.14,3.62,823.09,781.53,51,347.42
207.95,0,0,213.05,27.07,1008.85,666.15,299,117.46
375.73,0,0,179.52,1.99,914.84,787.7,98,270.55
482.07,0,0,169.38,16.02,1046.55,771.48,216,201.35
372.64,0,0,191.46,4.26,997.85,655.45,177,202.53
316.45,0,0,213.87,0.35,1038.87,617.88,80,302.38
392.99,0,0,164.75,12.66,881.58,781.31,185,186.87
337.48,0,0,193.61,8.85,1007.71,829.11,27,427.62
363.69,0,0,194.21,14.58,879.22,757.02,195,176.3
482.44,0,0,201.32,17.32,1081.72,668.03,214,208.08
315.83,0,0,159.21,1.31,990.91,799.96,342,117.32
488.36,0,0,200.11,3.69,897.35,624.03,114,281.34
471.61,0,0,213.63,16.76,880.85,732.55,242,172.25
258.74,0,0,162.58,10.3,857.28,649.01,124,198.4
220.81,0,0,166.63,21.88,1008.39,655.34,305,115.37
230.23,0,0,218,19.57,865.61,660.69,76,250.25
205.47,0,0,162.67,25.37,978.59,716.01,311,109.03
228.33,0,0,209.81,20.77,879.39,615.35,312,107.22
404.9,0,0,184.46,12.9,998.59,719.34,196,195.53
221.36,0,0,167.31,20.19,1044.48,753.51,351,106.12
295.69,0,0,210.95,8.26,1033.41,744.99,44,367.51
453.46,0,0,181.17,9.19,1028.26,714.84,186,215.5
206.98,0,0,186.04,23.67,856.32,851.74,343,94.16
444.34,0,0,175.15,13.39,826.52,643.6,246,158.65
284.56,0,0,191.51,23.95,1009.68,751.71,84,277.58
235.45,0,0,161.45,24.67,910.5,618.61,207,145.11
409.02,0,0,177.38,25.73,929.7,621.35,151,222.51
388.68,0,0,217.86,27.5,809.34,772.16,156,202.43
463.24,0,0,168.07,12.93,877.87,769.81,16,495.06
420.52,0,0,195.97,9.57,810.1,863.41,165,201.53
441.04,0,0,172.76,17.47,1063.76,767.36,145,252.01
284.61,0,0,204.14,11.14,873.02,887.94,37,345.21
253.23,0,0,159.16,18.03,967.2,614.61,333,109.24
425.18,0,0,217.89,21.17,811.69,629.4,45,373.2
442.05,0,0,181.77,20.65,1000.05,613.22,206,196.26
497.15,0,0,166.52,11.24,896.91,655.58,62,370.44
323.79,0,0,155.14,5.01,1069.38,762.38,356,119.71
311.61,0,0,161.88,12.92,1066.44,793.67,308,132.02
432.92,0,0,186.38,4.28,897.59,613.68,19,475.71
302.24,0,0,173.59,26.7,1070.29,883.79,300,133.95
479.23,0,0,208.02,10.38,1098.85,852.65,7,615.21
457.52,0,0,180.16,4.63,1047.62,688.98,249,178.97
328.7,0,0,167.41,0.76,1053.46,623.16,117,251.94
425.26,0,0,193.2,19.37,874.7,650.97,68,330.5
426.36,0,0,199.47,19.11,973.01,638.08,34,437.81
230.94,0,0,161.69,10.22,820.18,636.99,194,141.65
470.77,0,0,161.73,2.15,828.48,755.57,325,132.53
351.58,0,0,152.57,12.29,1099.67,673.75,55,368.22
447.94,0,0,201.55,9.34,897.99,707.44,266,157.92
296.01,0,0,196.47,20.31,1024.46,896.85,42,368.47
468.66,0,0,183.22,18.17,1042,805.29,297,158.57
316.76,0,0,209.09,10.94,1057.41,884.69,231,165.73
203.25,0,0,206.4,6.54,1099.29,642.77,10,447.9
471.61,0,0,190.97,29.64,872.45,714.64,358,126.95
227.39,0,0,210.78,13.62,812.11,766.42,128,184.89
295.79,0,0,164.41,20.65,923.36,623.03,179,174.31
485.02,0,0,157.83,4.22,839.02,601.26,193,195.93
485.18,0,0,168.88,14.57,806.73,801.13,92,294.88
